                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 0.6576,                0.68754,                0.90876,                0.99368,                      1,                  0.995,                0.84447,                0.64458,                0.80588,                0.92791,               0.000911,               0.000911,               0.000911
                     58,                0.64586,                0.73757,                0.96067,                0.99656,                      1,                  0.995,                0.83101,                0.68809,                0.80773,                0.94363,              0.0008912,              0.0008912,              0.0008912
                     59,                0.65553,                0.71457,                 0.9189,                0.99489,                      1,                  0.995,                0.87963,                0.64221,                0.84665,                0.91326,              0.0008714,              0.0008714,              0.0008714
                     60,                0.65368,                0.72371,                0.93398,                 0.9879,                      1,                  0.995,                0.85986,                0.64581,                0.84057,                0.89647,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.6385,                0.72354,                0.92899,                 0.9879,                      1,                  0.995,                0.85986,                0.64581,                0.84057,                0.89647,              0.0008318,              0.0008318,              0.0008318
                     62,                0.68433,                0.69396,                0.91397,                0.99769,                      1,                  0.995,                0.86175,                0.62511,                0.84906,                 0.9022,               0.000812,               0.000812,               0.000812
                     63,                0.64931,                0.72021,                0.92747,                0.99758,                      1,                  0.995,                0.88659,                0.58733,                0.79241,                0.90166,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.5907,                0.65753,                0.94236,                0.99785,                      1,                  0.995,                0.88387,                0.59806,                0.74204,                0.89745,              0.0007724,              0.0007724,              0.0007724
                     65,                0.75911,                0.72155,                0.95318,                0.99785,                      1,                  0.995,                0.88387,                0.59806,                0.74204,                0.89745,              0.0007526,              0.0007526,              0.0007526
                     66,                0.65202,                0.66452,                0.90967,                0.99816,                      1,                  0.995,                 0.8713,                0.58415,                0.71935,                0.90015,              0.0007328,              0.0007328,              0.0007328
                     67,                0.67607,                0.69541,                0.91889,                0.99823,                      1,                  0.995,                0.89148,                0.54606,                0.71685,                0.89165,               0.000713,               0.000713,               0.000713
                     68,                0.67087,                0.70339,                 0.9441,                0.99781,                      1,                  0.995,                0.89959,                0.54159,                0.70048,                0.88415,              0.0006932,              0.0006932,              0.0006932
                     69,                0.58817,                0.64171,                0.90893,                0.99781,                      1,                  0.995,                0.89959,                0.54159,                0.70048,                0.88415,              0.0006734,              0.0006734,              0.0006734
                     70,                0.69505,                0.70846,                0.93267,                0.99802,                      1,                  0.995,                0.91178,                0.53315,                0.71334,                 0.8802,              0.0006536,              0.0006536,              0.0006536
                     71,                0.58736,                0.65368,                0.93364,                0.99744,                      1,                  0.995,                0.89457,                0.50719,                0.68592,                0.87831,              0.0006338,              0.0006338,              0.0006338
                     72,                0.59151,                0.64784,                0.87734,                0.99738,                      1,                  0.995,                 0.8946,                0.50965,                0.64118,                0.88138,               0.000614,               0.000614,               0.000614
                     73,                0.60113,                0.64637,                0.89215,                0.99738,                      1,                  0.995,                 0.8946,                0.50965,                0.64118,                0.88138,              0.0005942,              0.0005942,              0.0005942
                     74,                0.60447,                0.64535,                0.97218,                0.99763,                      1,                  0.995,                0.89315,                0.53193,                0.64397,                0.88461,              0.0005744,              0.0005744,              0.0005744
                     75,                0.55246,                0.61396,                0.90332,                0.99795,                      1,                  0.995,                0.90999,                0.53897,                0.62699,                0.88484,              0.0005546,              0.0005546,              0.0005546
                     76,                0.55987,                0.61242,                0.89054,                0.99776,                      1,                  0.995,                0.91024,                0.48566,                0.59903,                0.87686,              0.0005348,              0.0005348,              0.0005348
                     77,                0.64727,                0.67551,                0.92217,                0.99776,                      1,                  0.995,                0.91024,                0.48566,                0.59903,                0.87686,               0.000515,               0.000515,               0.000515
                     78,                0.53568,                0.59949,                0.88957,                 0.9976,                      1,                  0.995,                0.91273,                0.44193,                0.60278,                0.86805,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.5628,                0.58984,                0.91357,                0.99756,                      1,                  0.995,                 0.9272,                0.43525,                0.59784,                0.86413,              0.0004754,              0.0004754,              0.0004754
                     80,                0.66119,                0.66494,                0.92243,                0.99789,                      1,                  0.995,                0.93445,                0.42837,                0.59113,                0.85902,              0.0004556,              0.0004556,              0.0004556
                     81,                0.57356,                 0.6394,                0.92761,                0.99789,                      1,                  0.995,                0.93445,                0.42837,                0.59113,                0.85902,              0.0004358,              0.0004358,              0.0004358
                     82,                0.52315,                0.58624,                0.89393,                0.99816,                      1,                  0.995,                0.92973,                0.44131,                 0.5876,                0.86019,               0.000416,               0.000416,               0.000416
                     83,                0.48298,                0.57736,                0.89471,                0.99835,                      1,                  0.995,                0.92185,                0.45123,                0.59103,                0.85867,              0.0003962,              0.0003962,              0.0003962
                     84,                0.58291,                 0.6082,                0.92849,                  0.998,                      1,                  0.995,                0.91614,                0.45395,                0.58236,                 0.8548,              0.0003764,              0.0003764,              0.0003764
                     85,                0.53436,                0.56875,                0.87015,                  0.998,                      1,                  0.995,                0.91614,                0.45395,                0.58236,                 0.8548,              0.0003566,              0.0003566,              0.0003566
                     86,                0.51308,                0.56822,                0.87661,                 0.9976,                      1,                  0.995,                0.90487,                 0.4454,                0.56496,                0.85421,              0.0003368,              0.0003368,              0.0003368
                     87,                0.50168,                0.58474,                0.88866,                 0.9969,                      1,                  0.995,                 0.9172,                0.43221,                0.53427,                0.85273,               0.000317,               0.000317,               0.000317
                     88,                0.53444,                0.57416,                0.87968,                0.99579,                      1,                  0.995,                0.91895,                0.43607,                0.51632,                0.85203,              0.0002972,              0.0002972,              0.0002972
                     89,                0.51383,                0.55724,                0.88801,                0.99579,                      1,                  0.995,                0.91895,                0.43607,                0.51632,                0.85203,              0.0002774,              0.0002774,              0.0002774
                     90,                0.49495,                0.54684,                 0.8795,                0.99528,                      1,                  0.995,                0.91522,                0.44141,                0.52462,                0.85237,              0.0002576,              0.0002576,              0.0002576
                     91,                 0.4929,                 0.8755,                0.88995,                0.99602,                      1,                  0.995,                0.91255,                 0.4359,                0.52252,                0.84967,              0.0002378,              0.0002378,              0.0002378
                     92,                0.43754,                0.78939,                0.86657,                0.99698,                      1,                  0.995,                0.93179,                0.43167,                0.54264,                0.84861,               0.000218,               0.000218,               0.000218
                     93,                0.46521,                 0.7556,                0.82248,                0.99698,                      1,                  0.995,                0.93179,                0.43167,                0.54264,                0.84861,              0.0001982,              0.0001982,              0.0001982
                     94,                0.45317,                0.71613,                0.86306,                0.99754,                      1,                  0.995,                0.93059,                0.43851,                0.56962,                0.84996,              0.0001784,              0.0001784,              0.0001784
                     95,                0.45321,                0.81489,                0.88759,                0.99797,                      1,                  0.995,                0.92986,                 0.4607,                0.59315,                0.85324,              0.0001586,              0.0001586,              0.0001586
                     96,                0.44905,                0.75229,                0.80337,                0.99816,                      1,                  0.995,                0.92962,                0.46882,                 0.6133,                0.85298,              0.0001388,              0.0001388,              0.0001388
                     97,                0.49776,                0.76803,                0.88972,                0.99816,                      1,                  0.995,                0.92962,                0.46882,                 0.6133,                0.85298,               0.000119,               0.000119,               0.000119
                     98,                0.43677,                0.71666,                 0.8561,                0.99824,                      1,                  0.995,                0.92787,                0.46217,                0.62162,                0.85147,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.43054,                0.71785,                0.84188,                0.99831,                      1,                  0.995,                0.92764,                0.45316,                0.62162,                0.84932,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.44088,                0.74987,                0.92839,                0.99831,                      1,                  0.995,                0.93611,                0.44307,                0.61914,                0.84724,               5.96e-05,               5.96e-05,               5.96e-05
